,portfolio_value
2023-09-14,4021068.2858175538
2023-09-15,4021068.2858175538
2023-09-18,4021068.2858175538
2023-09-20,4021068.2858175538
2023-09-21,4021068.2858175538
2023-09-22,4021068.2858175538
2023-09-25,4020942.993230364
2023-09-26,4044239.7208833527
2023-09-27,4053502.359907009
2023-09-28,3886226.9584407625
2023-09-29,3886226.9584407625
2023-10-03,3886226.9584407625
2023-10-04,3886129.993574476
2023-10-05,3913774.0078473426
2023-10-06,3920149.2569074603
2023-10-09,3924875.4128477443
2023-10-10,3907550.5911268564
2023-10-11,3741038.892078201
2023-10-12,3593938.6991639826
2023-10-13,3593938.6991639826
2023-10-16,3593938.6991639826
2023-10-17,3593938.6991639826
2023-10-18,3593938.6991639826
2023-10-19,3593938.6991639826
2023-10-20,3593938.6991639826
2023-10-23,3593883.0822757273
2023-10-25,3595436.5583847393
2023-10-26,3604394.18065847
2023-10-27,3596732.2369521623
2023-10-30,3877311.9728430724
2023-10-31,3904453.991974719
2023-11-01,4194899.179326389
2023-11-02,4194843.516459235
2023-11-03,4200258.852531702
2023-11-06,4218599.331277747
2023-11-07,4195246.3471383415
2023-11-08,4193745.7221963746
2023-11-09,4495237.945236226
2023-11-10,4495237.945236226
2023-11-13,4495237.945236226
2023-11-15,4495237.945236226
2023-11-16,4495237.945236226
2023-11-17,4495180.805680763
2023-11-20,4502215.672324985
2023-11-21,4500137.128076468
2023-11-22,4491885.982408847
2023-11-23,4491361.76705406
2023-11-24,4783012.286033721
2023-11-28,4783012.286033721
2023-11-29,4783012.286033721
2023-11-30,4783012.286033721
2023-12-01,4782928.347473611
2023-12-04,4799693.783884142
2023-12-05,4794920.184409264
2023-12-06,4792402.955236616
2023-12-07,4782367.8128487
2023-12-08,4547343.080213304
2023-12-11,4547253.138644648
2023-12-12,4574827.898396101
2023-12-13,4575456.952548107
2023-12-14,4374114.457920781
2023-12-15,4374114.457920781
2023-12-18,4374114.457920781
2023-12-19,4374114.457920781
2023-12-20,4374114.457920781
2023-12-21,4374114.457920781
2023-12-22,4374016.457762102
2023-12-26,4375585.960727604
2023-12-27,4405737.850046615
2023-12-28,4402950.791974319
2023-12-29,4201790.1861076215
2024-01-01,4201681.646971945
2024-01-02,4241929.694173476
2024-01-03,4240887.759391696
2024-01-04,4242533.949064581
2024-01-05,4219569.146953911
2024-01-08,4025151.3668063222
2024-01-09,4042723.82908855
2024-01-10,3880772.9878163617
2024-01-11,3880704.3768411214
2024-01-12,3886982.212043526
2024-01-15,3884419.3673647023
2024-01-16,3880098.7217235058
2024-01-17,3922905.3542842492
2024-01-18,4309906.9898552885
2024-01-19,4319620.973543369
2024-01-23,4359370.227052079
2024-01-24,4344726.4710249305
2024-01-25,4164235.128699029
2024-01-29,4164235.128699029
2024-01-30,4164102.0416186317
2024-01-31,4172148.1104470873
2024-02-01,4174311.6089534126
2024-02-02,4177855.916196146
2024-02-05,4189076.814389678
2024-02-06,4020098.5080227763
2024-02-07,4036403.2081701243
2024-02-08,4034858.4241053313
2024-02-09,4020650.9803332323
2024-02-12,4065218.448059616
2024-02-13,4399027.300969581
2024-02-14,4402691.719225657
2024-02-15,4425930.804503706
2024-02-16,4419048.413349454
2024-02-19,4442777.636999275
2024-02-20,4274886.693836876
2024-02-21,4274814.033794474
2024-02-22,4289447.36633846
2024-02-23,4288325.750682748
2024-02-26,4271577.42472392
2024-02-27,4270861.3196781175
2024-02-28,4690013.034280584
2024-02-29,4689898.192039065
2024-03-01,4692389.6923463065
2024-03-04,4545920.294033815
2024-03-05,4545920.294033815
2024-03-06,4545920.294033815
2024-03-07,4545920.294033815
2024-03-11,4545854.555351949
2024-03-12,4545510.395299788
2024-03-13,4552069.593186982
2024-03-14,4547269.957069139
2024-03-15,4563276.80787189
2024-03-18,4906032.495395442
2024-03-19,4905956.279364201
2024-03-20,4907622.102787818
2024-03-21,4932633.306813163
2024-03-22,4940305.95149231
2024-03-26,5392897.388751136
2024-03-27,5225363.031424503
2024-03-28,5225297.28917848
2024-04-01,5218107.842010324
2024-04-02,5229479.073166858
2024-04-03,5504525.402536883
2024-04-04,5504409.933564588
2024-04-05,5502286.4044825835
2024-04-08,5320374.216460773
2024-04-09,5320303.957176248
2024-04-10,5319267.284809425
2024-04-12,5333531.857508262
2024-04-15,5332702.002283589
2024-04-16,5707785.514028178
2024-04-18,5707785.514028178
2024-04-19,5707785.514028178
2024-04-22,5707785.514028178
2024-04-23,5707785.514028178
2024-04-24,5707785.514028178
2024-04-25,5707785.514028178
2024-04-26,5707785.514028178
2024-04-29,5707785.514028178
2024-04-30,5707785.514028178
2024-05-02,5707680.058026375
2024-05-03,5742912.332607796
2024-05-06,5743814.542168796
2024-05-07,5740840.843848261
